   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
      HadGEM2-CC      NaN   0.05    NaN   0.16
      HadGEM2-AO     0.09   0.05   0.13   0.06
          inmcm4      NaN   0.08    NaN   0.18
    IPSL-CM5A-LR     0.04  -0.01   0.00   0.04
    IPSL-CM5A-MR    -0.02  -0.03   0.00  -0.07
    IPSL-CM5B-LR      NaN   0.15    NaN   0.14
          MIROC5     0.07   0.13   0.13   0.21
       MIROC-ESM     0.20   0.19   0.14   0.20
  MIROC-ESM-CHEM     0.20   0.16   0.22   0.14
      MPI-ESM-LR     0.00   0.10    NaN   0.09
      MPI-ESM-MR     0.20   0.19    NaN   0.14
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.12   0.21   0.17   0.20
       NorESM1-M     0.12   0.06   0.02   0.04
      NorESM1-ME     0.08  -0.00  -0.02   0.00
WNA JJA
      HadGEM2-ES    -0.01  -0.11  -0.13  -0.29
       ACCESS1-0      NaN  -0.24    NaN  -0.37
       ACCESS1-3      NaN  -0.06    NaN   0.01
      bcc-csm1-1     0.03   0.01   0.03  -0.03
    bcc-csm1-1-m     0.01  -0.05  -0.01  -0.06
         BNU-ESM     0.09   0.19    NaN   0.27
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.08   0.11    NaN   0.17
      CESM1-CAM5     0.11  -0.06  -0.05  -0.11
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.15
         CMCC-CM      NaN  -0.05    NaN  -0.06
        CMCC-CMS      NaN  -0.00    NaN   0.01
           CCSM4     0.00  -0.03  -0.02  -0.09
        CNRM-CM5     0.04   0.00    NaN  -0.02
   CSIRO-Mk3-6-0    -0.03  -0.04  -0.06  -0.18
        EC-EARTH      NaN    NaN    NaN  -0.06
       FGOALS-g2     0.03  -0.03    NaN  -0.05
         FIO-ESM     0.03   0.09   0.04   0.17
        GFDL-CM3     0.09   0.09   0.08   0.06
      GFDL-ESM2G     0.13   0.09   0.06   0.02
      GFDL-ESM2M     0.03  -0.01  -0.03  -0.06
       GISS-E2-R     0.07  -0.04  -0.05  -0.19
       GISS-E2-H     0.01  -0.06   0.03  -0.18
    GISS-E2-R-CC      NaN  -0.03    NaN    NaN
    GISS-E2-H-CC      NaN  -0.05    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.16    NaN  -0.27
      HadGEM2-AO    -0.11  -0.27  -0.20  -0.41
          inmcm4      NaN  -0.11    NaN  -0.16
    IPSL-CM5A-LR     0.06  -0.08  -0.09  -0.24
    IPSL-CM5A-MR    -0.06  -0.11  -0.16  -0.20
    IPSL-CM5B-LR      NaN   0.07    NaN   0.07
          MIROC5    -0.01  -0.07  -0.00  -0.08
       MIROC-ESM     0.09   0.02   0.05  -0.03
  MIROC-ESM-CHEM     0.05   0.00   0.01  -0.11
      MPI-ESM-LR    -0.09  -0.06    NaN  -0.11
      MPI-ESM-MR     0.08  -0.02    NaN  -0.11
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.06   0.09   0.10   0.03
       NorESM1-M     0.04   0.07   0.04   0.07
      NorESM1-ME     0.05   0.04   0.06   0.06
WNA SON
      HadGEM2-ES     0.20   0.21   0.25   0.23
       ACCESS1-0      NaN   0.06    NaN   0.16
       ACCESS1-3      NaN   0.02    NaN   0.18
      bcc-csm1-1    -0.04   0.05   0.08   0.16
    bcc-csm1-1-m     0.13   0.13   0.15   0.20
         BNU-ESM     0.05   0.09    NaN   0.18
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.04   0.14    NaN   0.27
      CESM1-CAM5     0.22   0.12   0.19   0.18
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.39
         CMCC-CM      NaN   0.05    NaN   0.05
        CMCC-CMS      NaN   0.17    NaN   0.23
           CCSM4     0.11   0.11   0.14   0.16
        CNRM-CM5     0.07   0.18    NaN   0.24
   CSIRO-Mk3-6-0     0.08   0.16   0.02   0.12
        EC-EARTH      NaN    NaN    NaN   0.22
       FGOALS-g2     0.12   0.10    NaN   0.06
         FIO-ESM     0.01   0.10  -0.05   0.10
        GFDL-CM3     0.11   0.02   0.15   0.06
      GFDL-ESM2G     0.11   0.11   0.16   0.15
      GFDL-ESM2M     0.10   0.03   0.02   0.03
       GISS-E2-R     0.11   0.07  -0.00   0.07
       GISS-E2-H     0.08   0.15   0.16   0.22
    GISS-E2-R-CC      NaN   0.11    NaN    NaN
    GISS-E2-H-CC      NaN   0.12    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.11    NaN   0.10
      HadGEM2-AO     0.11   0.19   0.22   0.34
          inmcm4      NaN   0.00    NaN  -0.01
    IPSL-CM5A-LR     0.04  -0.05   0.09   0.03
    IPSL-CM5A-MR    -0.05  -0.01  -0.10  -0.01
    IPSL-CM5B-LR      NaN   0.06    NaN   0.06
          MIROC5     0.04   0.07   0.10   0.07
       MIROC-ESM     0.18   0.09   0.15   0.26
  MIROC-ESM-CHEM     0.00   0.08  -0.02   0.07
      MPI-ESM-LR    -0.05   0.02    NaN   0.03
      MPI-ESM-MR     0.18   0.19    NaN   0.14
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.06   0.02   0.09   0.06
       NorESM1-M     0.02   0.10   0.01   0.13
      NorESM1-ME    -0.07  -0.02   0.07   0.10
WNA ANN
      HadGEM2-ES     0.11   0.10   0.11   0.07
       ACCESS1-0      NaN  -0.04    NaN  -0.06
       ACCESS1-3      NaN   0.02    NaN   0.13
      bcc-csm1-1    -0.02   0.03   0.10   0.10
    bcc-csm1-1-m     0.16   0.10   0.16   0.24
         BNU-ESM     0.06   0.03    NaN   0.05
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.10   0.19    NaN   0.31
      CESM1-CAM5     0.15   0.07   0.14   0.14
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.36
         CMCC-CM      NaN   0.06    NaN   0.06
        CMCC-CMS      NaN   0.12    NaN   0.16
           CCSM4     0.07   0.10   0.19   0.11
        CNRM-CM5     0.08   0.14    NaN   0.20
   CSIRO-Mk3-6-0     0.10   0.08   0.09   0.12
        EC-EARTH      NaN    NaN    NaN   0.10
       FGOALS-g2     0.10   0.06    NaN   0.13
         FIO-ESM     0.06   0.04   0.02   0.06
        GFDL-CM3     0.13   0.15   0.19   0.19
      GFDL-ESM2G     0.10   0.10   0.13   0.17
      GFDL-ESM2M     0.09   0.03   0.03   0.05
       GISS-E2-R     0.12   0.05   0.04   0.00
       GISS-E2-H     0.14   0.13   0.22   0.18
    GISS-E2-R-CC      NaN   0.08    NaN    NaN
    GISS-E2-H-CC      NaN   0.11    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.04    NaN   0.08
      HadGEM2-AO     0.06   0.03   0.07   0.08
          inmcm4      NaN   0.05    NaN   0.14
    IPSL-CM5A-LR     0.08  -0.00   0.05   0.12
    IPSL-CM5A-MR     0.01   0.06   0.03   0.04
    IPSL-CM5B-LR      NaN   0.17    NaN   0.16
          MIROC5     0.04   0.05   0.07   0.09
       MIROC-ESM     0.11   0.12   0.10   0.15
  MIROC-ESM-CHEM     0.06   0.07   0.07   0.06
      MPI-ESM-LR    -0.03   0.04    NaN   0.07
      MPI-ESM-MR     0.12   0.12    NaN   0.09
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.16   0.19   0.20   0.25
       NorESM1-M     0.03   0.07   0.04   0.07
      NorESM1-ME     0.07   0.05   0.10   0.11
CNA DJF
      HadGEM2-ES     0.13   0.30   0.22   0.41
       ACCESS1-0      NaN   0.25    NaN   0.28
       ACCESS1-3      NaN   0.18    NaN   0.33
      bcc-csm1-1     0.12   0.13   0.18   0.03
    bcc-csm1-1-m    -0.11   0.03  -0.10   0.04
         BNU-ESM    -0.02  -0.02    NaN   0.01
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.00   0.20    NaN   0.27
      CESM1-CAM5     0.23   0.23   0.28   0.33
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.38
         CMCC-CM      NaN  -0.02    NaN   0.02
        CMCC-CMS      NaN   0.16    NaN   0.27
           CCSM4    -0.00   0.05   0.08   0.35
        CNRM-CM5    -0.04  -0.02    NaN   0.07
   CSIRO-Mk3-6-0     0.17   0.08   0.05  -0.07
        EC-EARTH      NaN    NaN    NaN   0.20
       FGOALS-g2     0.10  -0.01    NaN   0.04
         FIO-ESM    -0.10  -0.03  -0.07  -0.03
        GFDL-CM3     0.30   0.35   0.29   0.45
      GFDL-ESM2G     0.08   0.10   0.15   0.21
      GFDL-ESM2M     0.15   0.14   0.12   0.16
       GISS-E2-R     0.02   0.17   0.19   0.30
       GISS-E2-H     0.15   0.25   0.45   0.37
    GISS-E2-R-CC      NaN   0.03    NaN    NaN
    GISS-E2-H-CC      NaN   0.21    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.26    NaN   0.53
      HadGEM2-AO     0.16   0.06   0.22   0.34
          inmcm4      NaN  -0.03    NaN   0.05
    IPSL-CM5A-LR    -0.01  -0.08  -0.09  -0.23
    IPSL-CM5A-MR    -0.24  -0.20  -0.30  -0.42
    IPSL-CM5B-LR      NaN   0.17    NaN   0.28
          MIROC5     0.04   0.07  -0.02   0.04
       MIROC-ESM     0.05   0.07   0.08   0.16
  MIROC-ESM-CHEM     0.02   0.08   0.01   0.11
      MPI-ESM-LR    -0.03   0.19    NaN   0.21
      MPI-ESM-MR     0.19   0.20    NaN   0.49
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.02   0.07   0.14   0.13
       NorESM1-M     0.11   0.04   0.13   0.09
      NorESM1-ME     0.04  -0.04   0.04   0.00
CNA MAM
      HadGEM2-ES     0.16   0.46   0.26   0.35
       ACCESS1-0      NaN   0.18    NaN   0.27
       ACCESS1-3      NaN   0.44    NaN   0.54
      bcc-csm1-1     0.13   0.24   0.21   0.16
    bcc-csm1-1-m     0.11  -0.00   0.19   0.31
         BNU-ESM     0.10   0.07    NaN   0.24
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.24   0.10    NaN   0.08
      CESM1-CAM5     0.45   0.31   0.46   0.47
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.68
         CMCC-CM      NaN   0.29    NaN   0.17
        CMCC-CMS      NaN   0.27    NaN   0.49
           CCSM4     0.13   0.07   0.22   0.26
        CNRM-CM5     0.15   0.27    NaN   0.32
   CSIRO-Mk3-6-0     0.53   0.50   0.32   0.52
        EC-EARTH      NaN    NaN    NaN   0.33
       FGOALS-g2     0.09  -0.00    NaN  -0.06
         FIO-ESM     0.12   0.10   0.07   0.19
        GFDL-CM3     0.43   0.41   0.54   0.63
      GFDL-ESM2G     0.06   0.13   0.15   0.27
      GFDL-ESM2M     0.14   0.09   0.18   0.27
       GISS-E2-R     0.07   0.20   0.24   0.36
       GISS-E2-H    -0.06   0.28   0.25   0.40
    GISS-E2-R-CC      NaN   0.34    NaN    NaN
    GISS-E2-H-CC      NaN   0.13    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.27    NaN   0.27
      HadGEM2-AO     0.03  -0.08  -0.08   0.09
          inmcm4      NaN   0.15    NaN   0.40
    IPSL-CM5A-LR     0.01  -0.06  -0.16  -0.14
    IPSL-CM5A-MR    -0.07  -0.08  -0.06  -0.14
    IPSL-CM5B-LR      NaN   0.22    NaN   0.23
          MIROC5     0.21   0.11   0.21   0.13
       MIROC-ESM     0.36   0.43   0.45   0.42
  MIROC-ESM-CHEM     0.28   0.37   0.39   0.41
      MPI-ESM-LR     0.12   0.11    NaN   0.26
      MPI-ESM-MR     0.18   0.24    NaN   0.55
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.10   0.09   0.22   0.41
       NorESM1-M     0.19   0.17   0.28   0.35
      NorESM1-ME     0.08   0.10   0.14   0.20
CNA JJA
      HadGEM2-ES    -0.28  -0.44  -0.50  -0.73
       ACCESS1-0      NaN  -0.62    NaN  -0.73
       ACCESS1-3      NaN   0.05    NaN  -0.06
      bcc-csm1-1     0.04  -0.00   0.02  -0.23
    bcc-csm1-1-m    -0.04  -0.12  -0.16  -0.23
         BNU-ESM    -0.22  -0.19    NaN  -0.10
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.10   0.09    NaN  -0.02
      CESM1-CAM5     0.29   0.08   0.35   0.04
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.52
         CMCC-CM      NaN   0.33    NaN   0.33
        CMCC-CMS      NaN   0.13    NaN   0.38
           CCSM4    -0.16  -0.22  -0.24  -0.24
        CNRM-CM5    -0.03   0.02    NaN   0.04
   CSIRO-Mk3-6-0     0.12   0.13   0.06   0.06
        EC-EARTH      NaN    NaN    NaN   0.10
       FGOALS-g2     0.07  -0.05    NaN  -0.19
         FIO-ESM     0.00   0.04   0.04   0.03
        GFDL-CM3     0.24   0.33   0.34   0.22
      GFDL-ESM2G     0.14  -0.07  -0.05  -0.06
      GFDL-ESM2M     0.18   0.12   0.07   0.05
       GISS-E2-R     0.01   0.08  -0.19   0.06
       GISS-E2-H    -0.04  -0.02   0.05   0.19
    GISS-E2-R-CC      NaN   0.16    NaN    NaN
    GISS-E2-H-CC      NaN  -0.01    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.29    NaN  -0.69
      HadGEM2-AO    -0.31  -0.52  -0.59  -0.77
          inmcm4      NaN  -0.15    NaN  -0.20
    IPSL-CM5A-LR     0.09  -0.08  -0.15  -0.32
    IPSL-CM5A-MR    -0.14  -0.06  -0.29  -0.43
    IPSL-CM5B-LR      NaN   0.19    NaN   0.12
          MIROC5     0.16  -0.18  -0.25  -0.35
       MIROC-ESM     0.06  -0.02  -0.03  -0.34
  MIROC-ESM-CHEM    -0.11  -0.24  -0.31  -0.31
      MPI-ESM-LR     0.21   0.07    NaN   0.03
      MPI-ESM-MR     0.27   0.13    NaN   0.12
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.03   0.13   0.06   0.22
       NorESM1-M     0.00  -0.09  -0.16  -0.35
      NorESM1-ME    -0.12  -0.29  -0.26  -0.41
CNA SON
      HadGEM2-ES    -0.11   0.07   0.07   0.16
       ACCESS1-0      NaN  -0.03    NaN  -0.01
       ACCESS1-3      NaN   0.19    NaN   0.07
      bcc-csm1-1     0.17   0.06   0.09   0.24
    bcc-csm1-1-m     0.15   0.14   0.20   0.47
         BNU-ESM    -0.10   0.22    NaN  -0.04
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.08  -0.01    NaN   0.23
      CESM1-CAM5     0.18   0.00   0.36   0.12
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.84
         CMCC-CM      NaN  -0.02    NaN   0.04
        CMCC-CMS      NaN  -0.00    NaN   0.27
           CCSM4    -0.03   0.09   0.03   0.03
        CNRM-CM5     0.05   0.07    NaN   0.10
   CSIRO-Mk3-6-0     0.02   0.19   0.10   0.08
        EC-EARTH      NaN    NaN    NaN   0.15
       FGOALS-g2     0.03  -0.05    NaN  -0.32
         FIO-ESM     0.01   0.07  -0.00   0.22
        GFDL-CM3    -0.08  -0.09  -0.02   0.07
      GFDL-ESM2G     0.02   0.09  -0.02   0.07
      GFDL-ESM2M     0.05   0.11  -0.06  -0.08
       GISS-E2-R     0.09   0.16   0.09   0.24
       GISS-E2-H     0.23   0.26   0.12   0.37
    GISS-E2-R-CC      NaN   0.16    NaN    NaN
    GISS-E2-H-CC      NaN   0.14    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.07    NaN   0.02
      HadGEM2-AO    -0.02   0.02  -0.16  -0.09
          inmcm4      NaN  -0.14    NaN  -0.25
    IPSL-CM5A-LR     0.30   0.17   0.12   0.08
    IPSL-CM5A-MR    -0.01   0.09   0.00  -0.20
    IPSL-CM5B-LR      NaN   0.22    NaN   0.33
          MIROC5     0.04  -0.12  -0.09  -0.14
       MIROC-ESM     0.18   0.18   0.02   0.18
  MIROC-ESM-CHEM    -0.04   0.03   0.15  -0.14
      MPI-ESM-LR    -0.02  -0.08    NaN   0.15
      MPI-ESM-MR     0.20   0.15    NaN   0.34
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.02   0.11   0.07   0.10
       NorESM1-M    -0.05  -0.11   0.01   0.06
      NorESM1-ME     0.10   0.04   0.11  -0.00
CNA ANN
      HadGEM2-ES    -0.03   0.10   0.01   0.05
       ACCESS1-0      NaN  -0.06    NaN  -0.05
       ACCESS1-3      NaN   0.21    NaN   0.22
      bcc-csm1-1     0.11   0.11   0.12   0.05
    bcc-csm1-1-m     0.03   0.01   0.03   0.15
         BNU-ESM    -0.06   0.02    NaN   0.03
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.06   0.10    NaN   0.14
      CESM1-CAM5     0.29   0.16   0.36   0.24
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.60
         CMCC-CM      NaN   0.15    NaN   0.14
        CMCC-CMS      NaN   0.14    NaN   0.35
           CCSM4    -0.02  -0.00   0.02   0.10
        CNRM-CM5     0.03   0.08    NaN   0.13
   CSIRO-Mk3-6-0     0.21   0.23   0.13   0.15
        EC-EARTH      NaN    NaN    NaN   0.20
       FGOALS-g2     0.07  -0.03    NaN  -0.13
         FIO-ESM     0.01   0.04   0.01   0.10
        GFDL-CM3     0.23   0.25   0.29   0.35
      GFDL-ESM2G     0.08   0.06   0.06   0.12
      GFDL-ESM2M     0.13   0.12   0.08   0.10
       GISS-E2-R     0.04   0.15   0.08   0.24
       GISS-E2-H     0.08   0.19   0.22   0.33
    GISS-E2-R-CC      NaN   0.17    NaN    NaN
    GISS-E2-H-CC      NaN   0.12    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.04    NaN   0.03
      HadGEM2-AO    -0.03  -0.13  -0.15  -0.11
          inmcm4      NaN  -0.04    NaN  -0.00
    IPSL-CM5A-LR     0.10  -0.01  -0.07  -0.15
    IPSL-CM5A-MR    -0.10  -0.06  -0.16  -0.30
    IPSL-CM5B-LR      NaN   0.20    NaN   0.24
          MIROC5     0.11  -0.03  -0.04  -0.08
       MIROC-ESM     0.16   0.16   0.13   0.10
  MIROC-ESM-CHEM     0.03   0.06   0.06   0.02
      MPI-ESM-LR     0.08   0.07    NaN   0.16
      MPI-ESM-MR     0.22   0.18    NaN   0.38
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.03   0.10   0.12   0.22
       NorESM1-M     0.07   0.00   0.06   0.04
      NorESM1-ME     0.03  -0.05   0.01  -0.05
ENA DJF
      HadGEM2-ES     0.34   0.51   0.44   0.66
       ACCESS1-0      NaN   0.40    NaN   0.59
       ACCESS1-3      NaN   0.43    NaN   0.83
      bcc-csm1-1     0.06   0.26   0.26   0.33
    bcc-csm1-1-m     0.58   0.50   0.70   0.85
         BNU-ESM     0.17   0.29    NaN   0.15
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.32   0.56    NaN   0.76
      CESM1-CAM5     0.47   0.39   0.41   0.59
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.80
         CMCC-CM      NaN   0.16    NaN   0.57
        CMCC-CMS      NaN   0.36    NaN   0.54
           CCSM4     0.27   0.41   0.53   0.46
        CNRM-CM5     0.21   0.16    NaN   0.19
   CSIRO-Mk3-6-0     0.26   0.45   0.28   0.55
        EC-EARTH      NaN    NaN    NaN   0.52
       FGOALS-g2     0.07   0.15    NaN   0.24
         FIO-ESM     0.11   0.03   0.07   0.07
        GFDL-CM3     0.40   0.64   0.33   0.53
      GFDL-ESM2G     0.19   0.33   0.27   0.24
      GFDL-ESM2M     0.13   0.13  -0.04  -0.04
       GISS-E2-R     0.15   0.42   0.30   0.72
       GISS-E2-H     0.24   0.33   0.32   0.62
    GISS-E2-R-CC      NaN   0.45    NaN    NaN
    GISS-E2-H-CC      NaN   0.37    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.39    NaN   0.69
      HadGEM2-AO     0.25   0.39   0.43   0.53
          inmcm4      NaN   0.01    NaN   0.14
    IPSL-CM5A-LR     0.20   0.23   0.21   0.26
    IPSL-CM5A-MR     0.06   0.27   0.06   0.05
    IPSL-CM5B-LR      NaN   0.28    NaN   0.94
          MIROC5     0.17   0.25   0.34   0.42
       MIROC-ESM     0.21   0.30   0.25   0.26
  MIROC-ESM-CHEM     0.34   0.26   0.26   0.19
      MPI-ESM-LR     0.17   0.29    NaN   0.53
      MPI-ESM-MR     0.18   0.30    NaN   0.49
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.29   0.61   0.63   1.08
       NorESM1-M     0.22   0.21   0.09   0.21
      NorESM1-ME     0.09   0.14   0.03   0.01
ENA MAM
      HadGEM2-ES     0.32   0.12   0.09   0.21
       ACCESS1-0      NaN   0.01    NaN   0.17
       ACCESS1-3      NaN   0.04    NaN   0.28
      bcc-csm1-1     0.19   0.04   0.10   0.06
    bcc-csm1-1-m     0.10   0.06  -0.05   0.09
         BNU-ESM     0.22   0.12    NaN   0.24
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.13   0.16    NaN   0.16
      CESM1-CAM5     0.19   0.19   0.12   0.21
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.35
         CMCC-CM      NaN   0.07    NaN  -0.08
        CMCC-CMS      NaN  -0.00    NaN   0.04
           CCSM4    -0.08   0.09   0.06   0.02
        CNRM-CM5     0.09   0.06    NaN   0.20
   CSIRO-Mk3-6-0     0.21   0.22   0.26   0.32
        EC-EARTH      NaN    NaN    NaN   0.15
       FGOALS-g2     0.06   0.13    NaN   0.02
         FIO-ESM    -0.16  -0.05  -0.14  -0.10
        GFDL-CM3     0.31   0.28   0.17   0.24
      GFDL-ESM2G     0.06   0.07  -0.03  -0.05
      GFDL-ESM2M    -0.04   0.03  -0.06  -0.04
       GISS-E2-R     0.05   0.28   0.22   0.26
       GISS-E2-H     0.09   0.25   0.20   0.27
    GISS-E2-R-CC      NaN   0.20    NaN    NaN
    GISS-E2-H-CC      NaN   0.15    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
